video_id,index,url,type
c2407010,9,http://media-cdn.twitch.tv/store114.media79/archives/2013-5-26/live_user_smitegame_1369589613.flv,c
c2407010,10,http://media-cdn.twitch.tv/store71.media53/archives/2013-5-26/live_user_smitegame_1369591409.flv,c
c2407010,11,http://media-cdn.twitch.tv/store163.media106/archives/2013-5-26/live_user_smitegame_1369593212.flv,c
c2407010,12,http://media-cdn.twitch.tv/store77.media60/archives/2013-5-26/live_user_smitegame_1369595009.flv,c
a347355958,0,http://media-cdn.twitch.tv/store78.media60/archives/2012-12-12/live_user_smitegame_1355292148.flv,a
a347355958,1,http://media-cdn.twitch.tv/store75.media59/archives/2012-12-12/live_user_smitegame_1355293949.flv,a
a347355958,2,http://media-cdn.twitch.tv/store59.media52/archives/2012-12-12/live_user_smitegame_1355295753.flv,a
a347355958,3,http://media-cdn.twitch.tv/store70.media57/archives/2012-12-12/live_user_smitegame_1355297553.flv,a
a347355958,4,http://media-cdn.twitch.tv/store60.media52/archives/2012-12-12/live_user_smitegame_1355299358.flv,a
a347355958,5,http://media-cdn.twitch.tv/store53.media50/archives/2012-12-12/live_user_smitegame_1355301161.flv,a
a429492537,0,http://media-cdn.twitch.tv/store151.media100/archives/2013-7-12/live_user_r5studios_1373648583.flv,a
a429492537,1,http://media-cdn.twitch.tv/store148.media99/archives/2013-7-12/live_user_r5studios_1373650385.flv,a
a429492537,2,http://media-cdn.twitch.tv/store88.media65/archives/2013-7-12/live_user_r5studios_1373652185.flv,a
a533508284,0,http://media-cdn.twitch.tv/store92.media67/archives/2014-5-30/live_user_smitegame_1401412947.flv,a
a533508284,1,http://media-cdn.twitch.tv/store60.media52/archives/2014-5-30/live_user_smitegame_1401414750.flv,a
a533508284,2,http://media-cdn.twitch.tv/store124.media88/archives/2014-5-30/live_user_smitegame_1401416550.flv,a
a533508284,3,http://media-cdn.twitch.tv/store138.media94/archives/2014-5-30/live_user_smitegame_1401418351.flv,a
a533508284,4,http://media-cdn.twitch.tv/store45.media45/archives/2014-5-30/live_user_smitegame_1401420151.flv,a
a533508284,5,http://media-cdn.twitch.tv/store124.media88/archives/2014-5-30/live_user_smitegame_1401421952.flv,a
a533508284,6,http://media-cdn.twitch.tv/store105.media69/archives/2014-5-30/live_user_smitegame_1401423754.flv,a
a533508284,7,http://media-cdn.twitch.tv/store88.media65/archives/2014-5-30/live_user_smitegame_1401425554.flv,a
a496210137,0,http://media-cdn.twitch.tv/store28.media75/archives/2014-1-18/live_user_tribesascend_1390061107.flv,a
a496210137,1,http://media-cdn.twitch.tv/store130.media90/archives/2014-1-18/live_user_tribesascend_1390062908.flv,a
a496210137,2,http://media-cdn.twitch.tv/store140.media95/archives/2014-1-18/live_user_tribesascend_1390064708.flv,a
a496210137,3,http://media-cdn.twitch.tv/store163.media106/archives/2014-1-18/live_user_tribesascend_1390066511.flv,a
a496210137,4,http://media-cdn.twitch.tv/store159.media104/archives/2014-1-18/live_user_tribesascend_1390068313.flv,a
a496210137,5,http://media-cdn.twitch.tv/store86.media64/archives/2014-1-18/live_user_tribesascend_1390070112.flv,a
a496210137,6,http://media-cdn.twitch.tv/store56.media51/archives/2014-1-18/live_user_tribesascend_1390071914.flv,a
a496210137,7,http://media-cdn.twitch.tv/store147.media98/archives/2014-1-18/live_user_tribesascend_1390073714.flv,a
a496210137,8,http://media-cdn.twitch.tv/store114.media79/archives/2014-1-18/live_user_tribesascend_1390075517.flv,a
a496210137,9,http://media-cdn.twitch.tv/store128.media89/archives/2014-1-18/live_user_tribesascend_1390077318.flv,a
a496210137,10,http://media-cdn.twitch.tv/store96.media11/archives/2014-1-18/live_user_tribesascend_1390079120.flv,a
a496210137,11,http://media-cdn.twitch.tv/store58.media12/archives/2014-1-18/live_user_tribesascend_1390080921.flv,a
a514815071,0,http://media-cdn.twitch.tv/store133.media91/archives/2014-3-27/live_user_project_spark_1395957856.flv,a
a338458759,0,http://media-cdn.twitch.tv/store50.media48/archives/2012-11-7/live_user_hirezstudios_1352311262.flv,a
a338458759,1,http://media-cdn.twitch.tv/store137.media93/archives/2012-11-7/live_user_hirezstudios_1352313069.flv,a
a368553652,0,http://media-cdn.twitch.tv/store47.media47/archives/2013-2-18/live_user_smitegame_1361152746.flv,a
a500341240,0,http://media-cdn.twitch.tv/store64.media54/archives/2014-2-3/live_user_smitegame_1391389880.flv,a
a350771076,0,http://media-cdn.twitch.tv/store73.media58/archives/2012-12-24/live_user_smitegame_1356356281.flv,a
a350771076,1,http://media-cdn.twitch.tv/store79.media61/archives/2012-12-24/live_user_smitegame_1356358091.flv,a
a439341601,0,http://store55.media49.justin.tv/archives/2013-8-1/live_user_ageofempires_1375389599.flv,a
a439341601,1,http://store77.media60.justin.tv/archives/2013-8-1/live_user_ageofempires_1375391408.flv,a
a439341601,2,http://store151.media100.justin.tv/archives/2013-8-1/live_user_ageofempires_1375393204.flv,a
a540525746,0,http://media-cdn.twitch.tv/store163.media106/archives/2014-6-21/live_user_tribesascend_1403357607.flv,a
a540525746,1,http://media-cdn.twitch.tv/store56.media51/archives/2014-6-21/live_user_tribesascend_1403359412.flv,a
a540525746,2,http://media-cdn.twitch.tv/store114.media79/archives/2014-6-21/live_user_tribesascend_1403361212.flv,a
a540525746,3,http://media-cdn.twitch.tv/store40.media40/archives/2014-6-21/live_user_tribesascend_1403363012.flv,a
a540525746,4,http://media-cdn.twitch.tv/store110.media73/archives/2014-6-21/live_user_tribesascend_1403364813.flv,a
a540525746,5,http://media-cdn.twitch.tv/store126.media84/archives/2014-6-21/live_user_tribesascend_1403366614.flv,a
a540525746,6,http://media-cdn.twitch.tv/store90.media66/archives/2014-6-21/live_user_tribesascend_1403368417.flv,a
a540525746,7,http://media-cdn.twitch.tv/store75.media59/archives/2014-6-21/live_user_tribesascend_1403370217.flv,a
a540525746,8,http://media-cdn.twitch.tv/store23.media78/archives/2014-6-21/live_user_tribesascend_1403372019.flv,a
a461815822,0,http://media-cdn.twitch.tv/store106.media70/archives/2013-9-15/live_user_smitegame_1379242106.flv,a
a461815822,1,http://media-cdn.twitch.tv/store112.media74/archives/2013-9-15/live_user_smitegame_1379243913.flv,a
a461815822,2,http://media-cdn.twitch.tv/store133.media91/archives/2013-9-15/live_user_smitegame_1379245718.flv,a
a461815822,3,http://media-cdn.twitch.tv/store81.media62/archives/2013-9-15/live_user_smitegame_1379247520.flv,a
a461815822,4,http://media-cdn.twitch.tv/store126.media84/archives/2013-9-15/live_user_smitegame_1379249313.flv,a
c2714764,0,http://media-cdn.twitch.tv/store78.media60/archives/2013-7-22/live_user_smitegame_1374480107.flv,c
c2714764,1,http://media-cdn.twitch.tv/store161.media105/archives/2013-7-22/live_user_smitegame_1374481908.flv,c
c2714764,2,http://media-cdn.twitch.tv/store133.media91/archives/2013-7-22/live_user_smitegame_1374483711.flv,c
c2714764,3,http://media-cdn.twitch.tv/store115.media79/archives/2013-7-22/live_user_smitegame_1374485511.flv,c
c2714764,4,http://media-cdn.twitch.tv/store106.media70/archives/2013-7-22/live_user_smitegame_1374487309.flv,c
c2714764,5,http://media-cdn.twitch.tv/store125.media88/archives/2013-7-22/live_user_smitegame_1374489112.flv,c
a538425499,0,http://media-cdn.twitch.tv/store124.media88/archives/2014-6-14/live_user_smitegame_1402758283.flv,a
a341908677,0,http://store118.media85.justin.tv/archives/2012-11-21/live_user_ageofempires_1353525578.flv,a
a341908677,1,http://store93.media17.justin.tv/archives/2012-11-21/live_user_ageofempires_1353527386.flv,a
a509444178,0,http://media-cdn.twitch.tv/store61.media7/archives/2014-3-9/live_user_smitegame_1394333171.flv,a
a509444178,1,http://media-cdn.twitch.tv/store80.media61/archives/2014-3-9/live_user_smitegame_1394334977.flv,a
a444225226,0,http://store110.media73.justin.tv/archives/2013-8-11/live_user_ageofempires_1376245811.flv,a
a444225226,1,http://store129.media89.justin.tv/archives/2013-8-11/live_user_ageofempires_1376247616.flv,a
a444225226,2,http://store119.media85.justin.tv/archives/2013-8-11/live_user_ageofempires_1376249417.flv,a
c2506551,0,http://media-cdn.twitch.tv/store87.media65/archives/2013-6-19/live_user_smitegame_1371682975.flv,c
c2506551,1,http://media-cdn.twitch.tv/store139.media94/archives/2013-6-19/live_user_smitegame_1371684780.flv,c
c2506551,2,http://media-cdn.twitch.tv/store88.media65/archives/2013-6-20/live_user_smitegame_1371686579.flv,c
c2506551,3,http://media-cdn.twitch.tv/store51.media10/archives/2013-6-20/live_user_smitegame_1371688384.flv,c
c2506551,4,http://media-cdn.twitch.tv/store78.media60/archives/2013-6-20/live_user_smitegame_1371690185.flv,c
c2506551,5,http://media-cdn.twitch.tv/store142.media96/archives/2013-6-20/live_user_smitegame_1371691982.flv,c
a402988442,0,http://media-cdn.twitch.tv/store104.media69/archives/2013-5-13/live_user_smitegame_1368443336.flv,a
a402988442,1,http://media-cdn.twitch.tv/store115.media79/archives/2013-5-13/live_user_smitegame_1368445139.flv,a
a402988442,2,http://media-cdn.twitch.tv/store104.media69/archives/2013-5-13/live_user_smitegame_1368446940.flv,a
a402988442,3,http://media-cdn.twitch.tv/store128.media89/archives/2013-5-13/live_user_smitegame_1368448741.flv,a
a402988442,4,http://media-cdn.twitch.tv/store153.media101/archives/2013-5-13/live_user_smitegame_1368450539.flv,a
a402988442,5,http://media-cdn.twitch.tv/store138.media94/archives/2013-5-13/live_user_smitegame_1368452344.flv,a
a529690573,0,http://media-cdn.twitch.tv/store99.media16/archives/2014-5-17/live_user_runescape_1400354035.flv,a
a529690573,1,http://media-cdn.twitch.tv/store77.media60/archives/2014-5-17/live_user_runescape_1400355839.flv,a
a529690573,2,http://media-cdn.twitch.tv/store30.media30/archives/2014-5-17/live_user_runescape_1400357639.flv,a
a529690573,3,http://media-cdn.twitch.tv/store85.media64/archives/2014-5-17/live_user_runescape_1400359439.flv,a
a529690573,4,http://media-cdn.twitch.tv/store93.media17/archives/2014-5-17/live_user_runescape_1400361241.flv,a
a529690573,5,http://media-cdn.twitch.tv/store55.media49/archives/2014-5-17/live_user_runescape_1400363043.flv,a
a529690573,6,http://media-cdn.twitch.tv/store85.media64/archives/2014-5-17/live_user_runescape_1400364843.flv,a
a529690573,7,http://media-cdn.twitch.tv/store122.media87/archives/2014-5-17/live_user_runescape_1400366644.flv,a
a529690573,8,http://media-cdn.twitch.tv/store93.media17/archives/2014-5-17/live_user_runescape_1400368446.flv,a
a449095911,0,http://media-cdn.twitch.tv/store53.media50/archives/2013-8-21/live_user_tribesascend_1377082711.flv,a
a380012692,0,http://media-cdn.twitch.tv/store111.media73/archives/2013-3-20/live_user_smitegame_1363779581.flv,a
a380012692,1,http://media-cdn.twitch.tv/store85.media64/archives/2013-3-20/live_user_smitegame_1363781387.flv,a
a380012692,2,http://media-cdn.twitch.tv/store107.media70/archives/2013-3-20/live_user_smitegame_1363783188.flv,a
a380012692,3,http://media-cdn.twitch.tv/store66.media55/archives/2013-3-20/live_user_smitegame_1363784986.flv,a
a380012692,4,http://media-cdn.twitch.tv/store136.media93/archives/2013-3-20/live_user_smitegame_1363786786.flv,a
c2565085,0,http://media-cdn.twitch.tv/store75.media59/archives/2013-7-10/live_user_smitegame_1373421054.flv,c
c2565085,1,http://media-cdn.twitch.tv/store130.media90/archives/2013-7-10/live_user_smitegame_1373422861.flv,c
c2565085,2,http://media-cdn.twitch.tv/store120.media86/archives/2013-7-10/live_user_smitegame_1373424657.flv,c
c2565085,3,http://media-cdn.twitch.tv/store77.media60/archives/2013-7-10/live_user_smitegame_1373426461.flv,c
c2565085,4,http://media-cdn.twitch.tv/store103.media68/archives/2013-7-10/live_user_smitegame_1373428262.flv,c
c2565085,5,http://media-cdn.twitch.tv/store159.media104/archives/2013-7-10/live_user_smitegame_1373430058.flv,c
c2565085,6,http://media-cdn.twitch.tv/store104.media69/archives/2013-7-10/live_user_smitegame_1373431858.flv,c
c2785824,0,http://store73.media58.justin.tv/archives/2013-8-19/live_user_ageofempires_1376950532.flv,c
c2785824,1,http://store145.media97.justin.tv/archives/2013-8-19/live_user_ageofempires_1376952333.flv,c
c2785824,2,http://store114.media79.justin.tv/archives/2013-8-19/live_user_ageofempires_1376954133.flv,c
a552544635,0,http://store135.media92.justin.tv/archives/2014-7-29/live_user_perfectworld_community_1406671233.flv,a
a552544635,1,http://store159.media104.justin.tv/archives/2014-7-29/live_user_perfectworld_community_1406673039.flv,a
a552544635,2,http://store83.media63.justin.tv/archives/2014-7-29/live_user_perfectworld_community_1406674840.flv,a
a503115209,0,http://media-cdn.twitch.tv/store164.media107/archives/2014-2-13/live_user_project_spark_1392331404.flv,a
a368554215,0,http://media-cdn.twitch.tv/store82.media62/archives/2013-2-18/live_user_smitegame_1361152923.flv,a
a345286282,0,http://media-cdn.twitch.tv/store59.media52/archives/2012-12-4/live_user_smitegame_1354652550.flv,a
a345286282,1,http://media-cdn.twitch.tv/store80.media61/archives/2012-12-4/live_user_smitegame_1354654356.flv,a
a483469698,0,http://media-cdn.twitch.tv/store67.media56/archives/2013-11-28/live_user_smitegame_1385628098.flv,a
a508499983,0,http://media-cdn.twitch.tv/store130.media90/archives/2014-3-5/live_user_paradoxinteractive_1394045558.flv,a
a351005375,0,http://media-cdn.twitch.tv/store123.media87/archives/2012-12-25/live_user_smitegame_1356443326.flv,a
a526871992,0,http://media-cdn.twitch.tv/store124.media88/archives/2014-5-8/live_user_smitegame_1399526640.flv,a
a526871992,1,http://media-cdn.twitch.tv/store125.media88/archives/2014-5-8/live_user_smitegame_1399528441.flv,a
a526871992,2,http://media-cdn.twitch.tv/store115.media79/archives/2014-5-8/live_user_smitegame_1399530242.flv,a
a526871992,3,http://media-cdn.twitch.tv/store63.media54/archives/2014-5-8/live_user_smitegame_1399532042.flv,a
a526871992,4,http://media-cdn.twitch.tv/store116.media81/archives/2014-5-8/live_user_smitegame_1399533844.flv,a
a526871992,5,http://media-cdn.twitch.tv/store60.media52/archives/2014-5-8/live_user_smitegame_1399535643.flv,a
a353204717,0,http://media-cdn.twitch.tv/store114.media79/archives/2013-1-2/live_user_smitegame_1357095649.flv,a
a353204717,1,http://media-cdn.twitch.tv/store155.media102/archives/2013-1-2/live_user_smitegame_1357097458.flv,a
a353204717,2,http://media-cdn.twitch.tv/store156.media103/archives/2013-1-2/live_user_smitegame_1357099255.flv,a
a353204717,3,http://media-cdn.twitch.tv/store86.media64/archives/2013-1-2/live_user_smitegame_1357101063.flv,a
a353204717,4,http://media-cdn.twitch.tv/store106.media70/archives/2013-1-2/live_user_smitegame_1357102861.flv,a
a353204717,5,http://media-cdn.twitch.tv/store65.media55/archives/2013-1-2/live_user_smitegame_1357104662.flv,a
a353204717,6,http://media-cdn.twitch.tv/store52.media50/archives/2013-1-2/live_user_smitegame_1357106470.flv,a
a471540164,0,http://media-cdn.twitch.tv/store142.media96/archives/2013-10-19/live_user_smitegame_1382182776.flv,a
a471540164,1,http://media-cdn.twitch.tv/store76.media59/archives/2013-10-19/live_user_smitegame_1382184578.flv,a
a471540164,2,http://media-cdn.twitch.tv/store90.media66/archives/2013-10-19/live_user_smitegame_1382186380.flv,a
a471540164,3,http://media-cdn.twitch.tv/store86.media64/archives/2013-10-19/live_user_smitegame_1382188182.flv,a
a471540164,4,http://media-cdn.twitch.tv/store68.media56/archives/2013-10-19/live_user_smitegame_1382189985.flv,a
