video_id,username,views
a450057144,oxygen8,38
a511745333,twitchplays3ds,645
a557780862,twitchplaysn64games,1
a557498466,twitchplaysn64games,0
a556934742,twitchplaysn64games,1
a557822852,twitchplaysn64games,0
a557979987,twitchplaysn64games,2
a558182341,twitchplaysn64games,1
a556977824,twitchplaysn64games,1
a557538537,twitchplaysn64games,0
a557548568,twitchplaysn64games,1
a558334693,twitchplaysn64games,0
a557275902,twitchplaysn64games,1
a557791395,twitchplaysn64games,0
a557676596,twitchplaysn64games,0
a556774727,twitchplaysn64games,0
a556544132,twitchplaysn64games,2
a552741793,twitchplaysn64games,5
c4787570,twitchplaysn64games,46
a557304305,twitchplaysn64games,0
a557777457,twitchplaysn64games,0
a557846561,twitchplaysn64games,1
a557803430,twitchplaysn64games,1
a556103254,twitchplaysn64games,2
a555993056,twitchplaysn64games,0
a556702755,twitchplaysn64games,0
a557682443,twitchplaysn64games,0
a557714223,twitchplaysn64games,0
a557766359,twitchplaysn64games,0
a556370448,twitchplaysn64games,0
a557677041,twitchplaysn64games,0
a557349426,twitchplaysn64games,0
a557055874,twitchplaysn64games,0
a557780422,twitchplaysn64games,0
a557232562,twitchplaysn64games,0
a558438526,twitchplaysn64games,0
a557145710,twitchplaysn64games,0
a371259958,bioware,23583
a338467865,bioware,2919
a551541335,bungie,353
a551263548,bungie,549
a526150018,naughtydog,5343
a522690299,naughtydog,6132
a461469214,gearboxsoftware,4807
a519530074,gearboxsoftware,707
a519536382,gearboxsoftware,756
a461312123,gearboxsoftware,8510
a539070265,twitchplaysworldcup,24
a540224838,twitchplaysworldcup,31
a541708100,twitchplaysworldcup,8
a547201513,twitchplaysworldcup,17
a540361080,twitchplaysworldcup,13
a546339144,twitchplaysworldcup,4
a539318912,twitchplaysworldcup,8
a542000365,twitchplaysworldcup,14
a540531249,twitchplaysworldcup,3
a539063561,twitchplaysworldcup,2
a539064006,twitchplaysworldcup,5
a539035516,twitchplaysworldcup,14
a540548279,twitchplaysworldcup,6
a539063774,twitchplaysworldcup,7
a546657721,twitchplaysworldcup,5
a541125760,twitchplaysworldcup,4
a540953672,twitchplaysworldcup,0
a540961031,twitchplaysworldcup,15
a540841183,twitchplaysworldcup,14
a539933217,twitchplaysworldcup,51
a541411934,twitchplaysworldcup,4
a540083809,twitchplaysworldcup,8
a539791735,twitchplaysworldcup,141
a539184891,twitchplaysworldcup,21
a343831755,chanmanv,0
c3879798,chanmanv,3
c2577183,chanmanv,1
c4124994,chanmanv,9
c2717251,chanmanv,2
c4115155,chanmanv,4
c3247893,chanmanv,2
a298468255,chanmanv,0
c3838482,chanmanv,6
a471177114,chanmanv,7
c4125032,chanmanv,10
a343821814,chanmanv,0
c2865539,chanmanv,3
a422668972,chanmanv,6
c3378127,chanmanv,0
c4431836,chanmanv,3
a516747595,chanmanv,0
a536952179,chanmanv,0
c2071046,chanmanv,6
a555280220,chanmanv,0
a460101030,chanmanv,2
a326111631,chanmanv,0
c3877014,chanmanv,1
a552677236,chanmanv,1
c3526568,chanmanv,0
c1588294,chanmanv,0
a536821506,chanmanv,0
c2113503,chanmanv,4
a311077018,chanmanv,0
c2991674,chanmanv,1
a516740221,chanmanv,0
c3748107,chanmanv,7
c3667494,chanmanv,13
c2170834,chanmanv,2
c4033018,chanmanv,5
a464717894,chanmanv,4
c4590122,chanmanv,2
c1734154,chanmanv,1
a535510990,chanmanv,1
a435897836,chanmanv,9
c4042732,chanmanv,6
c3788266,chanmanv,1
c4491144,chanmanv,2
a299032285,chanmanv,0
c2754112,chanmanv,4
c4491403,chanmanv,2
a452426696,chanmanv,15
c2371572,chanmanv,1
c4491135,chanmanv,3
c2623373,chanmanv,1
a336895734,chanmanv,0
a500658315,chanmanv,2
a512642852,chanmanv,1
c2354733,chanmanv,4
c4905623,chanmanv,6
a543416656,chanmanv,0
a511037102,chanmanv,0
a542189371,chanmanv,0
c3096426,chanmanv,0
c1944628,chanmanv,1
a552125755,chanmanv,4
a516272368,chanmanv,18
c2704553,chanmanv,5
a512762608,chanmanv,7
c3471678,chanmanv,0
a308183300,chanmanv,0
a343487919,chanmanv,0
a438337386,chanmanv,9
a418791679,chanmanv,3
c2960524,chanmanv,1
a479878530,chanmanv,9
c4171072,chanmanv,4
a553685676,chanmanv,1
a554694426,chanmanv,5
a550305208,chanmanv,0
c2577220,chanmanv,1
c3129381,chanmanv,2
a523877949,chanmanv,0
a469073011,chanmanv,4
c2586232,chanmanv,3
a331394684,chanmanv,0
c2201235,chanmanv,5
a409539378,chanmanv,6
c4438745,chanmanv,5
a335227596,chanmanv,0
a439352641,chanmanv,2
a487145937,chanmanv,0
a313750624,chanmanv,0
c4255761,chanmanv,1
c3069241,chanmanv,0
c3126169,chanmanv,4
c2843993,chanmanv,3
c3305134,chanmanv,8
c4171066,chanmanv,3
a546297717,chanmanv,11
a475113557,chanmanv,4
c1992682,chanmanv,1
a533384973,chanmanv,15
a416242253,chanmanv,2
c2687860,chanmanv,8
a349254690,chanmanv,0
c3828284,chanmanv,2
c4400917,chanmanv,1
a386309772,chanmanv,0
a440417058,chanmanv,5
a508623867,chanmanv,2
a421792884,chanmanv,9
c3161631,chanmanv,0
a508418111,chanmanv,1
a546459788,chanmanv,0
a432412165,chanmanv,6
a520520519,chanmanv,2
a514652621,chanmanv,0
a334474936,chanmanv,0
c2794980,chanmanv,2
c4404958,chanmanv,6
c3918110,chanmanv,4
a514396769,chanmanv,0
c4736231,chanmanv,10
c4900447,chanmanv,3
a326859623,chanmanv,0
a328905381,chanmanv,0
a548973615,chanmanv,8
c2520427,chanmanv,1
a326038732,chanmanv,0
a470496217,chanmanv,5
c3917985,chanmanv,4
a555279329,chanmanv,0
a328635179,chanmanv,0
a491743138,chanmanv,0
c4257312,chanmanv,2
a493974440,chanmanv,0
a301390370,chanmanv,0
a451546886,chanmanv,5
a343835542,chanmanv,0
c3411030,chanmanv,6
a349243351,chanmanv,0
a555281200,chanmanv,0
c4032918,chanmanv,7
a510898318,chanmanv,4
c2704575,chanmanv,2
a517058722,chanmanv,0
a516389856,chanmanv,0
a341695675,chanmanv,0
a305320760,chanmanv,0
c4400921,chanmanv,1
a546118149,chanmanv,0
c4042742,chanmanv,5
c4294106,chanmanv,7
a382290413,chanmanv,0
c3716989,chanmanv,2
c3667548,chanmanv,4
a510204279,chanmanv,15
c3269722,chanmanv,5
a480029823,chanmanv,6
c2577161,chanmanv,2
a483423763,chanmanv,2
c2908346,chanmanv,3
c2664167,chanmanv,11
a334230025,chanmanv,0
a550792027,chanmanv,14
c3279573,chanmanv,8
c3069212,chanmanv,0
a504973875,chanmanv,5
a533205032,chanmanv,0
c2577146,chanmanv,2
a382719148,chanmanv,0
c2874363,chanmanv,1
c3384722,chanmanv,0
c3096419,chanmanv,0
c2110438,chanmanv,1
a338659845,chanmanv,0
c3952635,chanmanv,6
c2513800,chanmanv,0
a537654161,chanmanv,1
a333460475,chanmanv,0
a528909398,chanmanv,10
a516740025,chanmanv,0
a488840036,chanmanv,0
a486443327,chanmanv,0
a341676732,chanmanv,0
a434864816,chanmanv,6
a469330687,chanmanv,2
c3868300,chanmanv,4
a401078658,chanmanv,0
c2577170,chanmanv,2
a503071268,chanmanv,5
a548182380,chanmanv,3
a508775949,chanmanv,8
a471051001,chanmanv,10
c3993843,chanmanv,3
c4631437,chanmanv,3
a371658075,chanmanv,0
a536499001,chanmanv,0
c4073864,chanmanv,7
a483129766,chanmanv,8
a469055401,chanmanv,2
c2071066,chanmanv,3
a422713203,chanmanv,0
c3347370,chanmanv,4
a334161734,chanmanv,0
c3346208,chanmanv,1
c4819706,chanmanv,3
a332070866,chanmanv,0
a524723570,chanmanv,0
c4169205,chanmanv,5
a518682553,chanmanv,0
a488513746,chanmanv,18
a317560883,chanmanv,0
c4790448,chanmanv,5
c2513694,chanmanv,0
a536054110,chanmanv,0
a445263309,chanmanv,14
a327837816,chanmanv,0
c2421236,chanmanv,9
a331860311,chanmanv,0
a296640134,chanmanv,0
c1720378,chanmanv,2
c3237305,chanmanv,6
c2985897,chanmanv,1
a326938306,chanmanv,0
a328903358,chanmanv,0
c3135592,chanmanv,4
c3868504,chanmanv,3
a330507886,chanmanv,0
a310014863,chanmanv,0
c4530133,chanmanv,6
a298464081,chanmanv,0
a325048155,chanmanv,0
c4615492,chanmanv,0
c3884363,chanmanv,2
a335810758,chanmanv,0
c4216046,chanmanv,12
c4114630,chanmanv,6
a335048649,chanmanv,0
c4542670,chanmanv,1
c2477205,chanmanv,2
c2878799,chanmanv,2
a297823349,chanmanv,0
c1815342,chanmanv,5
c4341534,chanmanv,0
c2577191,chanmanv,1
a357343185,chanmanv,0
c1589426,chanmanv,13
a516742168,chanmanv,0
a323832397,chanmanv,0
a515239962,chanmanv,0
c2878206,chanmanv,2
c4115148,chanmanv,7
a466597389,chanmanv,13
a332686945,chanmanv,0
c3549884,chanmanv,7
c1728227,chanmanv,2
c1863720,chanmanv,1
c1734159,chanmanv,1
a547987185,chanmanv,0
a523882397,chanmanv,0
a511029790,chanmanv,0
c1944618,chanmanv,1
c4776291,chanmanv,10
c3247887,chanmanv,5
a554402663,chanmanv,0
a391828911,chanmanv,0
a541163738,chanmanv,7
c1863712,chanmanv,1
a558277673,chanmanv,1
c3167913,chanmanv,3
a549957475,chanmanv,0
c2558126,chanmanv,4
c1858232,chanmanv,1
c1728230,chanmanv,2
a453399567,chanmanv,5
c4631227,chanmanv,8
a442760530,chanmanv,18
a516739379,chanmanv,0
c3013795,chanmanv,1
a349537884,chanmanv,0
a555265022,chanmanv,0
a386572117,chanmanv,0
c4776852,chanmanv,6
c3625766,chanmanv,5
c4260608,chanmanv,5
a540127052,chanmanv,0
c4736211,chanmanv,11
c4306024,chanmanv,5
a544371669,chanmanv,2
c3788043,chanmanv,1
c4568816,chanmanv,0
c2558134,chanmanv,3
a520177654,chanmanv,19
c4521852,chanmanv,3
c3171141,chanmanv,3
c2370400,chanmanv,10
a475312889,chanmanv,5
c4178580,chanmanv,1
a521138598,chanmanv,0
c1760778,chanmanv,3
a327705853,chanmanv,0
a481288205,chanmanv,8
c2636269,chanmanv,1
c3167904,chanmanv,5
c2165202,chanmanv,18
c2828504,chanmanv,2
c2234456,chanmanv,1
a508286276,chanmanv,10
c3993806,chanmanv,8
a334220716,chanmanv,0
a305044252,chanmanv,0
a332548134,chanmanv,0
a528924212,chanmanv,5
a506357889,chanmanv,24
c3373866,chanmanv,0
c1602439,chanmanv,0
c3993895,chanmanv,3
a468876201,chanmanv,4
c4083998,chanmanv,3
a545543712,chanmanv,0
a467128433,chanmanv,4
a481865232,chanmanv,16
c4171158,chanmanv,13
c4589683,chanmanv,2
a448818015,chanmanv,6
c3788061,chanmanv,1
a505982593,chanmanv,1
a550954925,chanmanv,1
c3028271,chanmanv,2
c2204293,chanmanv,4
c3748148,chanmanv,11
c1583388,chanmanv,1
a549946811,chanmanv,1
a307087396,chanmanv,0
a327714687,chanmanv,0
a545844296,chanmanv,1
a453897772,chanmanv,3
c3868402,chanmanv,3
a310773245,chanmanv,0
a524674505,chanmanv,6
c4089070,chanmanv,1
c2520410,chanmanv,3
c2716832,chanmanv,3
c1785690,chanmanv,1
c4766562,chanmanv,2
c2687850,chanmanv,3
c2454106,chanmanv,2
c4737355,chanmanv,11
a499847800,chanmanv,0
a511215347,chanmanv,1
a324966528,chanmanv,0
c4731823,chanmanv,1
a508928020,chanmanv,1
c1743702,chanmanv,2
a547500191,chanmanv,3
c3471101,chanmanv,3
a548451646,chanmanv,7
a374223876,chanmanv,0
a294701395,chanmanv,0
a539987705,chanmanv,2
c4491598,chanmanv,4
a535229023,chanmanv,0
a412655375,chanmanv,3
a546765695,chanmanv,1
a513059745,chanmanv,0
c3598804,chanmanv,9
a369169311,chanmanv,0
a558087369,chanmanv,21
a486763023,chanmanv,0
a303108139,chanmanv,0
c3411037,chanmanv,8
c2577116,chanmanv,1
c4255767,chanmanv,1
a435492205,chanmanv,6
a441796337,chanmanv,6
c4171057,chanmanv,6
a514788240,chanmanv,12
a331858665,chanmanv,0
a395328444,chanmanv,0
a516739158,chanmanv,0
a359609088,chanmanv,0
c2384812,chanmanv,3
c4204201,chanmanv,5
a518205825,chanmanv,21
a394808027,chanmanv,0
a304015586,chanmanv,0
a543729283,chanmanv,0
a325043954,chanmanv,0
a520298615,chanmanv,0
c2577133,chanmanv,3
a471171540,chanmanv,3
c2985760,chanmanv,1
c4213591,chanmanv,1
a488341048,chanmanv,5
c1812217,chanmanv,1
c1882776,chanmanv,1
a488226374,chanmanv,0
a304659268,chanmanv,0
c1760553,chanmanv,7
a416628959,chanmanv,3
a500790115,chanmanv,14
a304383349,chanmanv,0
c3868257,chanmanv,5
a416232970,chanmanv,3
a416608958,chanmanv,7
c4766575,chanmanv,2
c3993849,chanmanv,6
c2483703,chanmanv,1
c2551688,chanmanv,1
a523870818,chanmanv,0
a524717649,chanmanv,0
c3126173,chanmanv,2
c1972175,chanmanv,2
c4392321,chanmanv,6
c4684102,chanmanv,8
a298468719,chanmanv,0
a333384195,chanmanv,0
c4542684,chanmanv,2
a518681559,chanmanv,0
c3627209,chanmanv,7
c3521905,chanmanv,0
a331326500,chanmanv,0
c3089992,chanmanv,1
a536031452,chanmanv,0
a360308794,chanmanv,0
a496409357,chanmanv,0
a327714364,chanmanv,0
c4178589,chanmanv,1
c2995243,chanmanv,4
a555432206,chanmanv,1
c3667518,chanmanv,10
c2487506,chanmanv,0
c3381056,chanmanv,0
a360270924,chanmanv,0
c2960632,chanmanv,2
c3713992,chanmanv,1
c4776468,chanmanv,11
a296787159,chanmanv,0
a347800405,chanmanv,0
c2995210,chanmanv,4
a489074343,chanmanv,0
a349191365,chanmanv,0
c2675496,chanmanv,1
c2960384,chanmanv,0
c2044294,chanmanv,1
a327710182,chanmanv,0
c3269754,chanmanv,6
c4848965,chanmanv,6
a557945538,chanmanv,0
c1583391,chanmanv,8
c1743700,chanmanv,2
c2195959,chanmanv,11
a425507577,chanmanv,4
c4294120,chanmanv,5
a326385269,chanmanv,0
c4003408,chanmanv,4
c4589674,chanmanv,1
a526984915,chanmanv,10
a296078986,chanmanv,0
c2636058,chanmanv,2
c4679939,chanmanv,3
a472668787,chanmanv,9
c2454113,chanmanv,2
c1858233,chanmanv,2
c3069236,chanmanv,0
c2596606,chanmanv,2
a332904028,chanmanv,0
c3237320,chanmanv,2
a325141081,chanmanv,0
a391818902,chanmanv,0
a549632847,chanmanv,0
a522026000,chanmanv,0
a501270687,chanmanv,6
c2513669,chanmanv,4
a459485782,chanmanv,7
c2561908,chanmanv,4
a489454848,chanmanv,0
a535680598,chanmanv,6
c3246952,chanmanv,5
a545535841,chanmanv,0
c2411921,chanmanv,3
a518540153,chanmanv,0
c4568781,chanmanv,2
a343817459,chanmanv,0
c2754158,chanmanv,1
a546279733,chanmanv,1
a502931216,chanmanv,2
a296642282,chanmanv,0
a516116994,chanmanv,1
a331319986,chanmanv,0
a325027599,chanmanv,0
a522674212,chanmanv,16
a428160527,chanmanv,11
c3013808,chanmanv,2
c3346213,chanmanv,2
a488829750,chanmanv,0
a551306606,chanmanv,0
a484735418,chanmanv,4
a518681556,chanmanv,0
a358255814,chanmanv,0
a349248587,chanmanv,0
c2044292,chanmanv,6
c4439495,chanmanv,6
a301391326,chanmanv,0
a555255394,chanmanv,0
c2633605,chanmanv,1
c1900382,chanmanv,3
a555372509,chanmanv,0
c3835319,chanmanv,2
c2908520,chanmanv,1
a383580508,chanmanv,0
a360280072,chanmanv,0
c4354951,chanmanv,3
a513194982,chanmanv,1
a541312832,chanmanv,0
c3758379,chanmanv,3
a510871970,chanmanv,2
c4737366,chanmanv,9
a545337047,chanmanv,0
c1583402,chanmanv,0
a300798833,chanmanv,0
a552343509,chanmanv,0
c2716803,chanmanv,2
c4900296,chanmanv,2
a518548561,chanmanv,0
c3243151,chanmanv,5
a518540187,chanmanv,0
c2165208,chanmanv,5
a513526337,chanmanv,1
a336637211,chanmanv,0
a353507094,chanmanv,0
c2577208,chanmanv,1
c2845182,chanmanv,2
a429085425,chanmanv,6
a550098033,chanmanv,0
a514258188,chanmanv,14
a488709450,chanmanv,5
c4713017,chanmanv,3
a301832034,chanmanv,0
c4530365,chanmanv,0
a304651238,chanmanv,0
a501119543,chanmanv,3
c2712600,chanmanv,1
c4641331,chanmanv,0
a296231482,chanmanv,0
a511532193,chanmanv,2
c3102266,chanmanv,1
c1863714,chanmanv,1
c4672077,chanmanv,3
a522176489,chanmanv,9
c1968035,chanmanv,5
c2757483,chanmanv,11
a432085418,chanmanv,2
c3311069,chanmanv,3
c4392317,chanmanv,3
a328556718,chanmanv,0
a328074166,chanmanv,0
a541503333,chanmanv,15
c2593044,chanmanv,2
c2787109,chanmanv,2
a330176649,chanmanv,0
c2477222,chanmanv,2
c3667533,chanmanv,6
c3719832,chanmanv,3
c3748240,chanmanv,8
a492107997,chanmanv,0
a544028948,chanmanv,0
a551320288,chanmanv,1
a518540858,chanmanv,0
a477013656,chanmanv,7
a527476835,chanmanv,0
a535100016,chanmanv,19
a553052789,chanmanv,5
a496708065,chanmanv,1
a406111239,chanmanv,2
c3677426,chanmanv,5
a327831938,chanmanv,0
a531147311,chanmanv,3
c3471603,chanmanv,0
a449459254,chanmanv,5
c2991669,chanmanv,1
a325145179,chanmanv,0
a332540106,chanmanv,0
a517170053,chanmanv,0
c1734158,chanmanv,1
c4204218,chanmanv,5
a529058588,chanmanv,5
a491009317,chanmanv,0
a557906987,chanmanv,0
c4003416,chanmanv,4
a422361348,chanmanv,6
a523882563,chanmanv,0
a524849534,chanmanv,8
c4671661,chanmanv,4
a547865902,chanmanv,12
a445915535,chanmanv,8
a516265787,chanmanv,10
a400136479,chanmanv,3
a555249983,chanmanv,0
c2289799,chanmanv,1
a543994734,chanmanv,0
a536039978,chanmanv,0
a301317568,chanmanv,0
a369186338,chanmanv,0
c3337758,chanmanv,2
a439331729,chanmanv,3
c3269550,chanmanv,10
a550609790,chanmanv,3
a330281747,chanmanv,0
a331682197,chanmanv,0
c2874355,chanmanv,1
a337716605,chanmanv,0
c3415696,chanmanv,7
a330289054,chanmanv,0
a537280687,chanmanv,43
a360052282,chanmanv,0
a492002731,chanmanv,0
a522302946,chanmanv,0
c3716978,chanmanv,2
c1538577,chanmanv,1
a379415291,chanmanv,0
a299029019,chanmanv,0
a465031518,chanmanv,3
a553156086,chanmanv,15
a418765086,chanmanv,2
c3879767,chanmanv,4
a499670509,chanmanv,0
c2551641,chanmanv,1
a491401774,chanmanv,38
a542511735,chanmanv,1
c1785692,chanmanv,1
a345641954,chanmanv,0
c4114736,chanmanv,8
a472562742,chanmanv,7
a514779863,chanmanv,9
c4083969,chanmanv,3
a300796936,chanmanv,0
c3472081,chanmanv,0
a306007080,chanmanv,0
a329679068,chanmanv,0
c4819774,chanmanv,4
c3922536,chanmanv,1
a331010139,chanmanv,0
a516747476,chanmanv,4
a332900670,chanmanv,0
c2828770,chanmanv,1
a333376883,chanmanv,0
a520160940,chanmanv,1
c4576964,chanmanv,0
c4495969,chanmanv,2
a465206633,chanmanv,8
c4341747,chanmanv,4
c4083988,chanmanv,2
a446248275,chanmanv,10
c2746838,chanmanv,3
a518539712,chanmanv,0
c2561902,chanmanv,6
a312957014,chanmanv,0
c1863069,chanmanv,2
a500397726,chanmanv,1
c2623554,chanmanv,1
a331861688,chanmanv,0
a317056491,chanmanv,0
a497454807,chanmanv,12
c2633616,chanmanv,5
a494618126,chanmanv,5
c2371610,chanmanv,2
c3952338,chanmanv,4
a555090907,chanmanv,2
c4899966,chanmanv,4
c3588705,chanmanv,5
a392625436,chanmanv,0
c2388014,chanmanv,4
c3598798,chanmanv,6
c2664150,chanmanv,3
a489079599,chanmanv,0
c3471295,chanmanv,0
c1734163,chanmanv,2
c3247897,chanmanv,2
a543584330,chanmanv,21
a544943186,chanmanv,0
a463528759,chanmanv,8
a526461044,chanmanv,16
c1785691,chanmanv,1
a392327603,chanmanv,0
c1734172,chanmanv,1
a518682336,chanmanv,0
a392350146,chanmanv,0
a296639342,chanmanv,0
a299460898,chanmanv,0
a328901586,chanmanv,0
a539953539,chanmanv,0
c3338078,chanmanv,2
a543696175,chanmanv,0
c4294114,chanmanv,4
c3275030,chanmanv,4
a331113276,chanmanv,0
c2345734,chanmanv,4
c3758329,chanmanv,4
a535850572,chanmanv,0
a505403539,chanmanv,0
a331746990,chanmanv,0
a540425210,chanmanv,3
a309048023,chanmanv,0
a503485016,chanmanv,2
a487316254,chanmanv,0
c2071059,chanmanv,3
c3099831,chanmanv,7
c2477018,chanmanv,2
a474729286,chanmanv,6
a551997459,chanmanv,0
a551663030,chanmanv,1
a347595912,chanmanv,0
c1750844,chanmanv,16
a419631002,chanmanv,4
c2371562,chanmanv,1
c3838428,chanmanv,6
a347618727,chanmanv,0
a488219233,chanmanv,0
a485182308,chanmanv,7
a341917477,chanmanv,0
c3795082,chanmanv,2
a549771050,chanmanv,4
c3677383,chanmanv,7
a536027055,chanmanv,0
a550129567,chanmanv,0
a338357914,chanmanv,0
c1728228,chanmanv,1
c4671666,chanmanv,2
a497435885,chanmanv,2
c4839817,chanmanv,1
a537083585,chanmanv,0
c2551711,chanmanv,1
a300804040,chanmanv,0
c3019532,chanmanv,1
a430432167,chanmanv,11
a555251052,chanmanv,0
a463546494,chanmanv,4
c2632077,chanmanv,2
c3787794,chanmanv,3
a552972624,chanmanv,0
a343817001,chanmanv,0
a369839474,chanmanv,0
a481613043,chanmanv,4
c3243134,chanmanv,8
a512510792,chanmanv,27
a382281337,chanmanv,0
a301392414,chanmanv,0
a328897925,chanmanv,0
c3559370,chanmanv,15
c4905569,chanmanv,4
a550963930,chanmanv,0
a539743319,chanmanv,18
a455706582,chanmanv,2
a485009754,chanmanv,4
c1546906,chanmanv,0
a541598072,chanmanv,0
a516739829,chanmanv,0
a317063822,chanmanv,0
a395610074,chanmanv,0
c3626205,chanmanv,3
a411837055,chanmanv,8
a555070144,chanmanv,0
a400548457,chanmanv,0
c2445336,chanmanv,2
a517041716,chanmanv,0
c3305114,chanmanv,5
a349274049,chanmanv,0
c4530075,chanmanv,8
c3959805,chanmanv,1
a516607706,chanmanv,1
c2754122,chanmanv,1
c3419412,chanmanv,4
c2958015,chanmanv,1
a505690277,chanmanv,0
a539954696,chanmanv,0
a465198429,chanmanv,5
c3411056,chanmanv,5
c2173267,chanmanv,4
a494091251,chanmanv,0
a345559302,chanmanv,0
c3019193,chanmanv,5
c2130702,chanmanv,2
a544366629,chanmanv,1
a523542910,chanmanv,0
a355806723,chanmanv,0
a518682088,chanmanv,0
a541926927,chanmanv,1
c1734175,chanmanv,1
a306398697,chanmanv,0
a334437164,chanmanv,0
a324694288,chanmanv,0
a522183714,chanmanv,16
c1968030,chanmanv,5
a518540620,chanmanv,0
c3952764,chanmanv,6
a555568108,chanmanv,8
a516738888,chanmanv,0
a490360582,chanmanv,0
c2083842,chanmanv,8
c2311540,chanmanv,2
a304381716,chanmanv,0
c841136,chanmanv,0
c4354858,chanmanv,8
c3922476,chanmanv,7
a300717597,chanmanv,0
c2794974,chanmanv,2
a520302602,chanmanv,1
a325039359,chanmanv,0
a327189962,chanmanv,0
a510852283,chanmanv,0
c3588952,chanmanv,7
a349243248,chanmanv,0
a329338178,chanmanv,0
a535736624,chanmanv,0
c4306013,chanmanv,6
c4341527,chanmanv,0
a413195238,chanmanv,2
a518540644,chanmanv,0
a386635759,chanmanv,0
c4115103,chanmanv,7
a298462985,chanmanv,0
a487308093,chanmanv,0
a334220786,chanmanv,0
a518689316,chanmanv,0
a516622766,chanmanv,1
a382302057,chanmanv,0
c3063608,chanmanv,1
a312948564,chanmanv,0
a497584969,chanmanv,5
a504506876,chanmanv,6
a515069796,chanmanv,0
a305048609,chanmanv,0
c3917585,chanmanv,4
c3993936,chanmanv,0
a523882811,chanmanv,1
a522524537,chanmanv,6
a306636813,chanmanv,0
a514942090,chanmanv,1
c1774059,chanmanv,0
a463410532,chanmanv,4
c2110429,chanmanv,2
c3484311,chanmanv,0
a516282235,chanmanv,23
c2483722,chanmanv,2
a382759562,chanmanv,0
a330538384,chanmanv,0
a299613717,chanmanv,0
