video_id,username,views
a486308276,labzero,255
c4899827,labzero,0
c4899764,labzero,0
c4896239,labzero,0
c4896144,labzero,0
a377082078,labzero,241
c4899706,labzero,0
a404101321,labzero,395
a415796521,labzero,505
a418028425,labzero,431
c4896107,labzero,0
a434477789,labzero,665
a377547325,labzero,248
a421969305,labzero,509
a505059880,labzero,426
a512567630,labzero,421
c4896274,labzero,0
a469064203,labzero,85
c4896133,labzero,0
a388508792,labzero,259
a380287821,labzero,347
c4896065,labzero,0
c4899686,labzero,0
c4896191,labzero,0
c4896207,labzero,0
a455497962,labzero,385
a402379721,labzero,3258
a404049718,labzero,243
a520459267,labzero,373
a421109769,labzero,643
a483289050,labzero,84
a377101441,labzero,429
a387737413,labzero,324
a452016441,labzero,318
a403986762,labzero,366
c4899712,labzero,4
c4895901,labzero,0
c4896087,labzero,0
c4896129,labzero,1
a434162826,labzero,228
c4895843,labzero,0
c4899717,labzero,2
a390262076,labzero,339
c4895919,labzero,0
c4896215,labzero,0
c4896017,labzero,0
a469143086,labzero,188
a500872822,labzero,286
a524288568,labzero,762
a445389591,labzero,299
c4896293,labzero,2
c4895973,labzero,0
c4896178,labzero,0
a520490788,labzero,345
c4896021,labzero,0
c4895821,labzero,0
a418882590,labzero,447
a468519231,labzero,59
c4896001,labzero,0
c4884700,labzero,0
c4895932,labzero,0
a391178114,labzero,283
c4895930,labzero,0
c4896213,labzero,0
c4899724,labzero,3
a379892975,labzero,331
c4896188,labzero,2
c4895956,labzero,1
c4896079,labzero,0
c4899691,labzero,1
a468568554,labzero,118
a384565648,labzero,630
a409173352,labzero,788
c4895988,labzero,0
c4896028,labzero,0
c4896083,labzero,0
a374701083,labzero,2291
a418851306,labzero,496
c4896271,labzero,0
c4896135,labzero,0
a377561615,labzero,700
a404014111,labzero,349
a491681834,labzero,120
a495809841,labzero,240
a385865502,labzero,715
a379901948,labzero,940
a384180645,labzero,591
c4896072,labzero,0
c4896194,labzero,1
a389658371,labzero,323
a407080236,labzero,428
a389673205,labzero,275
c4899719,labzero,1
a387624588,labzero,214
a383251505,labzero,802
a379980256,labzero,1690
c4899695,labzero,0
c4896299,labzero,2
c4896244,labzero,0
a530375157,labzero,295
c4896030,labzero,0
c4896199,labzero,0
c4896148,labzero,0
c4896010,labzero,0
c4896098,labzero,1
a483295297,labzero,267
a535462843,labzero,515
a421094427,labzero,421
a482034145,labzero,498
a468548631,labzero,47
c4895926,labzero,0
c4896027,labzero,0
a406716971,labzero,284
c4896249,labzero,0
a380261111,labzero,159
c4896128,labzero,0
c4895846,labzero,0
c4899809,labzero,10
c4896103,labzero,1
a404084415,labzero,311
c4896350,labzero,5
c4896262,labzero,0
c4899757,labzero,1
a523491827,labzero,252
c4896218,labzero,0
a413189334,labzero,203
a434444981,labzero,226
c4884719,labzero,8
a377448199,labzero,167
a380252597,labzero,192
a414007050,labzero,275
c4896170,labzero,0
a388581559,labzero,4876
a496033020,labzero,260
c4896298,labzero,0
c4896110,labzero,0
a388585319,labzero,451
a374657264,labzero,9383
c4899782,labzero,20
a400750987,labzero,249
a403211789,labzero,348
c4884703,labzero,10
a560212666,labzero,104
c4896356,labzero,3
c4896042,labzero,0
a379184468,labzero,1214
c4895978,labzero,0
c4896272,labzero,1
c4896259,labzero,0
a466366649,labzero,166
c4895944,labzero,1
c4895867,labzero,0
a374689742,labzero,1396
c4896084,labzero,0
a380320928,labzero,694
c4899728,labzero,1
a381152429,labzero,558
a377494476,labzero,137
c4896197,labzero,0
a425591102,labzero,179
c4899772,labzero,14
a393150902,labzero,350
a434419479,labzero,294
c4896264,labzero,1
a510247238,labzero,267
c4896179,labzero,0
c4895886,labzero,0
c4895872,labzero,1
c4896228,labzero,0
a434417611,labzero,343
c4899740,labzero,0
c4895837,labzero,0
c4896166,labzero,1
a504808233,labzero,337
a377521666,labzero,201
a496896775,labzero,236
c4895966,labzero,0
c4896212,labzero,0
c4896140,labzero,0
a550180181,labzero,539
a524323252,labzero,590
a420989955,labzero,609
a503133139,labzero,299
c4896097,labzero,0
a495079501,labzero,2241
c4899754,labzero,0
a389711798,labzero,358
c4896080,labzero,0
a453953393,labzero,270
c4895875,labzero,0
a377466995,labzero,278
a421879974,labzero,315
a397568614,labzero,368
c4895858,labzero,0
a391963841,labzero,749
a503738720,labzero,333
c4896267,labzero,0
a380270504,labzero,148
a530389280,labzero,450
a381113853,labzero,179
c4884687,labzero,0
a381123822,labzero,488
c4895948,labzero,0
a381161043,labzero,1301
c4896287,labzero,0
a510539281,labzero,640
a501544661,labzero,473
c4884712,labzero,6
c4895860,labzero,0
c4899814,labzero,105
c4895925,labzero,0
a558526739,labzero,130
a540480428,doomed_spacemarine,3
a532615727,doomed_spacemarine,11
c4952169,doomed_spacemarine,10
a526893949,doomed_spacemarine,13
c4108524,doomed_spacemarine,16
a527475600,doomed_spacemarine,16
a560068928,doomed_spacemarine,1
c4163611,doomed_spacemarine,18
c4090681,doomed_spacemarine,19
c4056603,doomed_spacemarine,10
a532595616,doomed_spacemarine,4
a559375987,doomed_spacemarine,4
a524160644,doomed_spacemarine,4
c4063055,doomed_spacemarine,21
c4332022,doomed_spacemarine,18
a519634181,doomed_spacemarine,2
a528427533,doomed_spacemarine,3
c4072654,doomed_spacemarine,9
a536219804,doomed_spacemarine,14
a533589403,doomed_spacemarine,1
a519643581,doomed_spacemarine,8
a540166376,doomed_spacemarine,7
a539573284,doomed_spacemarine,20
a522048630,doomed_spacemarine,2
a519849620,doomed_spacemarine,18
c4191056,doomed_spacemarine,19
c3951828,doomed_spacemarine,46
